# Complex Love numbers for a periodic load
# Computed by ISSM on 06-Mar-2026 12:18:35
#
#        T (yr)        Re(h_2)        Im(h_2)        Re(l_2)        Im(l_2)        Re(k_2)        Im(k_2)
   6.517340e+00   6.306917e-01  -1.253862e-03   8.884400e-02  -2.760548e-04   3.185020e-01  -6.823629e-04
   5.738442e+00   6.306914e-01  -1.104011e-03   8.884394e-02  -2.430631e-04   3.185018e-01  -6.008129e-04
   5.052631e+00   6.306911e-01  -9.720695e-04   8.884390e-02  -2.140142e-04   3.185017e-01  -5.290090e-04
   4.448783e+00   6.306908e-01  -8.558961e-04   8.884386e-02  -1.884371e-04   3.185015e-01  -4.657864e-04
   3.917101e+00   6.306907e-01  -7.536067e-04   8.884383e-02  -1.659167e-04   3.185014e-01  -4.101196e-04
   3.448962e+00   6.306905e-01  -6.635420e-04   8.884381e-02  -1.460877e-04   3.185014e-01  -3.611056e-04
   3.036771e+00   6.306904e-01  -5.842411e-04   8.884380e-02  -1.286285e-04   3.185013e-01  -3.179493e-04
   2.673842e+00   6.306903e-01  -5.144176e-04   8.884378e-02  -1.132559e-04   3.185013e-01  -2.799507e-04
   2.354286e+00   6.306903e-01  -4.529387e-04   8.884377e-02  -9.972055e-05   3.185012e-01  -2.464933e-04
   2.072922e+00   6.306902e-01  -3.988073e-04   8.884377e-02  -8.780278e-05   3.185012e-01  -2.170345e-04
   1.825183e+00   6.306902e-01  -3.511452e-04   8.884376e-02  -7.730933e-05   3.185012e-01  -1.910964e-04
   1.607053e+00   6.306902e-01  -3.091793e-04   8.884375e-02  -6.806997e-05   3.185012e-01  -1.682581e-04
   1.414991e+00   6.306901e-01  -2.722287e-04   8.884375e-02  -5.993481e-05   3.185012e-01  -1.481493e-04
   1.245883e+00   6.306901e-01  -2.396942e-04   8.884375e-02  -5.277191e-05   3.185011e-01  -1.304438e-04
   1.096986e+00   6.306901e-01  -2.110480e-04   8.884375e-02  -4.646505e-05   3.185011e-01  -1.148542e-04
   9.658832e-01   6.306901e-01  -1.858253e-04   8.884374e-02  -4.091194e-05   3.185011e-01  -1.011278e-04
   8.504489e-01   6.306901e-01  -1.636170e-04   8.884374e-02  -3.602248e-05   3.185011e-01  -8.904186e-05
   7.488104e-01   6.306901e-01  -1.440629e-04   8.884374e-02  -3.171738e-05   3.185011e-01  -7.840032e-05
   6.593188e-01   6.306901e-01  -1.268457e-04   8.884374e-02  -2.792678e-05   3.185011e-01  -6.903057e-05
   5.805226e-01   6.306901e-01  -1.116862e-04   8.884374e-02  -2.458921e-05   3.185011e-01  -6.078061e-05
   5.111433e-01   6.306901e-01  -9.833836e-05   8.884374e-02  -2.165051e-05   3.185011e-01  -5.351662e-05
   4.500558e-01   6.306901e-01  -8.658578e-05   8.884374e-02  -1.906302e-05   3.185011e-01  -4.712076e-05
   3.962689e-01   6.306901e-01  -7.623777e-05   8.884374e-02  -1.678477e-05   3.185011e-01  -4.148928e-05
   3.489101e-01   6.306901e-01  -6.712647e-05   8.884374e-02  -1.477879e-05   3.185011e-01  -3.653083e-05
   3.072113e-01   6.306901e-01  -5.910408e-05   8.884374e-02  -1.301256e-05   3.185011e-01  -3.216497e-05
   2.704960e-01   6.306901e-01  -5.204045e-05   8.884374e-02  -1.145740e-05   3.185011e-01  -2.832088e-05
   2.381686e-01   6.306901e-01  -4.582101e-05   8.884374e-02  -1.008811e-05   3.185011e-01  -2.493621e-05
   2.097046e-01   6.306901e-01  -4.034487e-05   8.884374e-02  -8.882464e-06   3.185011e-01  -2.195604e-05
   1.846425e-01   6.306901e-01  -3.552319e-05   8.884374e-02  -7.820906e-06   3.185011e-01  -1.933204e-05
   1.625756e-01   6.306901e-01  -3.127775e-05   8.884374e-02  -6.886217e-06   3.185011e-01  -1.702163e-05
   1.431459e-01   6.306901e-01  -2.753970e-05   8.884374e-02  -6.063234e-06   3.185011e-01  -1.498735e-05
   1.260383e-01   6.306901e-01  -2.424838e-05   8.884374e-02  -5.338607e-06   3.185011e-01  -1.319619e-05
   1.109752e-01   6.306901e-01  -2.135042e-05   8.884374e-02  -4.700581e-06   3.185011e-01  -1.161909e-05
   9.771242e-02   6.306901e-01  -1.879879e-05   8.884374e-02  -4.138807e-06   3.185011e-01  -1.023047e-05
   8.603464e-02   6.306901e-01  -1.655212e-05   8.884374e-02  -3.644171e-06   3.185011e-01  -9.007813e-06
   7.575250e-02   6.306901e-01  -1.457395e-05   8.884374e-02  -3.208650e-06   3.185011e-01  -7.931274e-06
   6.669920e-02   6.306901e-01  -1.283219e-05   8.884374e-02  -2.825179e-06   3.185011e-01  -6.983395e-06
   5.872787e-02   6.306901e-01  -1.129860e-05   8.884374e-02  -2.487538e-06   3.185011e-01  -6.148798e-06
   5.170920e-02   6.306901e-01  -9.948282e-06   8.884374e-02  -2.190248e-06   3.185011e-01  -5.413945e-06
   4.552935e-02   6.306901e-01  -8.759347e-06   8.884374e-02  -1.928488e-06   3.185011e-01  -4.766915e-06
   4.008806e-02   6.306901e-01  -7.712503e-06   8.884374e-02  -1.698011e-06   3.185011e-01  -4.197213e-06
   3.529707e-02   6.306901e-01  -6.790769e-06   8.884374e-02  -1.495079e-06   3.185011e-01  -3.695598e-06
   3.107866e-02   6.306901e-01  -5.979193e-06   8.884374e-02  -1.316400e-06   3.185011e-01  -3.253931e-06
   2.736440e-02   6.306901e-01  -5.264610e-06   8.884374e-02  -1.159075e-06   3.185011e-01  -2.865048e-06
   2.409404e-02   6.306901e-01  -4.635428e-06   8.884374e-02  -1.020552e-06   3.185011e-01  -2.522641e-06
